pollno,race,year,location,type_simple,type_detail,pollster,partisan,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment
5380017,1998_Gov-G_NY,1998,NY,Gov-G,Gov-G,Zogby Interactive/JZ Analytics,,10/15/98,706,Democrat,21,Republican,53,7,-32,11/3/98,33.2,54.3,-21.1,10.9,-10.9,1,"previously listed as Zogby Analytics, telephone"
5380018,1998_Gov-G_WI,1998,WI,Gov-G,Gov-G,University of Wisconsin Milwaukee,,10/15/98,415,Democrat,28,Republican,63,,-35,11/3/98,38.7,59.7,-21,14,-14,1,previously listed as University Wisconsin-Milwaukee
5380019,1998_House-G_NC-8,1998,NC-8,House-G,House-G,Wirthlin Worldwide,R,10/15/98,505,Democrat,39,Republican,51,,-12,11/3/98,49,51,-2,10,-10,1,
5380020,1998_House-G_US,1998,US,House-G,House-G,"Yankelovich Partners, Inc.",,10/15/98,442,Democrat,47,Republican,47,,0,11/3/98,46.42,47.99,-1.57,1.57,1.57,0.5,
5380021,1998_Sen-G_GA,1998,GA,Sen-G,Sen-G,University of Georgia,,10/15/98,500,Democrat,29,Republican,46,,-17,11/3/98,45.15,52.37,-7.22,9.78,-9.78,1,
5380022,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Zogby Interactive/JZ Analytics,,10/15/98,706,Democrat,37,Republican,42,,-5,11/3/98,54.62,44.08,10.54,15.54,-15.54,0,"previously listed as Zogby Analytics, telephone"
5380023,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,University of Wisconsin Milwaukee,,10/15/98,269,Democrat,46,Republican,44,,2,11/3/98,50.55,48.4,2.15,0.15,-0.15,1,previously listed as University Wisconsin-Milwaukee
5380024,1998_Gov-G_CO,1998,CO,Gov-G,Gov-G,Public Opinion Strategies,,10/16/98,500,Democrat,39,Republican,43,,-4,11/3/98,48.4,49.1,-0.7,3.3,-3.3,1,
5380025,1998_Gov-G_CT,1998,CT,Gov-G,Gov-G,Quinnipiac University,,10/16/98,683,Democrat,24,Republican,72,,-48,11/3/98,35.4,62.9,-27.5,20.5,-20.5,1,
5380026,1998_Gov-G_MD,1998,MD,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/16/98,828,Democrat,46,Republican,44,,2,11/3/98,55.1,44.8,10.3,8.3,-8.3,1,
5380027,1998_House-G_US,1998,US,House-G,House-G,Hill Research Consultants,,10/16/98,600,Democrat,41,Republican,38,,3,11/3/98,46.42,47.99,-1.57,4.57,4.57,0,
5380028,1998_House-G_US,1998,US,House-G,House-G,Pew Research Center,,10/16/98,743,Democrat,43,Republican,48,,-5,11/3/98,46.42,47.99,-1.57,3.43,-3.43,1,
5380029,1998_Sen-G_CT,1998,CT,Sen-G,Sen-G,Quinnipiac University,,10/16/98,683,Democrat,61,Republican,29,,32,11/3/98,65.15,32.37,32.78,0.78,-0.78,1,
5380030,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,University of Illinois at Chicago,,10/16/98,597,Democrat,31,Republican,48,,-17,11/3/98,47.44,50.35,-2.91,14.09,-14.09,1,
5380031,1998_Sen-G_MD,1998,MD,Sen-G,Sen-G,"Mason-Dixon Polling & Research, Inc.",,10/16/98,821,Democrat,67,Republican,26,,41,11/3/98,70.5,29.5,41,0,0,1,
5380032,1998_Gov-G_CA,1998,CA,Gov-G,Gov-G,Field Research Corporation (Field Poll),,10/17/98,809,Democrat,50,Republican,43,,7,11/3/98,58,38.4,19.6,12.6,-12.6,1,
5380033,1998_Gov-G_FL,1998,FL,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/17/98,822,Democrat,41,Republican,51,,-10,11/3/98,44.7,55.3,-10.6,0.6,0.6,1,
5380034,1998_Gov-G_MN,1998,MN,Gov-G,Gov-G,Star Tribune,,10/17/98,1007,Ventura (I),21,Coleman (R),34,,-13,11/3/98,37,34.3,2.7,15.7,,0,number of likely voters estimated
5380035,1998_Gov-G_NH,1998,NH,Gov-G,Gov-G,Becker Institute,,10/17/98,355,Democrat,67,Republican,22,,45,11/3/98,66.1,33.1,33,12,12,1,
5380036,1998_House-G_CA-46,1998,CA-46,House-G,House-G,Los Angeles Times,,10/17/98,1000,Democrat,48,Republican,34,,14,11/3/98,56.4,39.2,17.2,3.2,-3.2,1,
5380037,1998_House-G_IN-10,1998,IN-10,House-G,House-G,Massie & Associates,R,10/17/98,300,Democrat,37,Republican,38,,-1,11/3/98,58.3,39.4,18.9,19.9,-19.9,0,
5380038,1998_House-G_US,1998,US,House-G,House-G,ABC News/Washington Post,,10/17/98,548,Democrat,47,Republican,48,,-1,11/3/98,46.42,47.99,-1.57,0.57,0.57,1,
5380039,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,"Mason-Dixon Polling & Research, Inc.",,10/17/98,836,Democrat,58,Republican,32,,26,11/3/98,62.47,37.53,24.94,1.06,1.06,1,
5380040,1998_Gov-G_HI,1998,HI,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/18/98,406,Democrat,37,Republican,52,,-15,11/3/98,50.1,48.8,1.3,16.3,-16.3,0,
5380041,1998_Gov-G_NM,1998,NM,Gov-G,Gov-G,"Research & Polling, Inc.",,10/18/98,916,Democrat,39,Republican,49,,-10,11/3/98,45.5,54.5,-9,1,-1,1,
5380042,1998_Gov-G_OH,1998,OH,Gov-G,Gov-G,Gordon S. Black Corp.,,10/18/98,1012,Democrat,28,Republican,36,,-8,11/3/98,44.7,50.1,-5.4,2.6,-2.6,1,aka Plain Dealer
5380043,1998_Gov-G_RI,1998,RI,Gov-G,Gov-G,KRC/Communications Research,,10/18/98,400,Democrat,45,Republican,47,,-2,11/3/98,42.1,51,-8.9,6.9,6.9,1,
5380044,1998_House-G_HI-1,1998,HI-1,House-G,House-G,"Mason-Dixon Polling & Research, Inc.",,10/18/98,221,Democrat,50,Republican,36,,14,11/3/98,59.8,35.3,24.5,10.5,-10.5,1,
5380045,1998_House-G_KY-6,1998,KY-6,House-G,House-G,TMR Research,,10/18/98,700,Democrat,44,Republican,41,,3,11/3/98,46,53.1,-7.1,10.1,10.1,0,
5380046,1998_House-G_ND-1,1998,ND-1,House-G,House-G,Wilson Research Strategies,R,10/18/98,300,Democrat,49,Republican,40,,9,11/3/98,56.2,41.1,15.1,6.1,-6.1,1,
5380047,1998_House-G_WA-1,1998,WA-1,House-G,House-G,"Lauer Lalley Victoria, Inc.",D,10/18/98,368,Democrat,43,Republican,39,5,4,11/3/98,49.8,44.1,5.7,1.7,-1.7,1,
5380048,1998_Sen-G_KY,1998,KY,Sen-G,Sen-G,TMR Research,,10/18/98,800,Democrat,44,Republican,39,,5,11/3/98,49.16,49.75,-0.59,5.59,5.59,0,
5380049,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,Gordon S. Black Corp.,,10/18/98,1012,Democrat,28,Republican,51,,-23,11/3/98,43.53,56.46,-12.93,10.07,-10.07,1,
5380050,1998_Sen-G_OK,1998,OK,Sen-G,Sen-G,Tulsa Surveys,,10/18/98,750,Democrat,16,Republican,63,,-47,11/3/98,31.28,66.38,-35.1,11.9,-11.9,1,
5380051,1998_Gov-G_CA,1998,CA,Gov-G,Gov-G,Los Angeles Times,,10/19/98,883,Democrat,53,Republican,42,,11,11/3/98,58,38.4,19.6,8.6,-8.6,1,
5380053,1998_Gov-G_IL,1998,IL,Gov-G,Gov-G,Market Shares Corp.,,10/19/98,1099,Democrat,34,Republican,49,,-15,11/3/98,47.5,51,-3.5,11.5,-11.5,1,
5380054,1998_Gov-G_MA,1998,MA,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/19/98,625,Democrat,41,Republican,46,,-5,11/3/98,47.4,50.8,-3.4,1.6,-1.6,1,
5380055,1998_House-G_US,1998,US,House-G,House-G,Wirthlin Worldwide,,10/19/98,415,Democrat,41,Republican,45,,-4,11/3/98,46.42,47.99,-1.57,2.43,-2.43,1,
5380056,1998_Sen-G_CA,1998,CA,Sen-G,Sen-G,Los Angeles Times,,10/19/98,883,Democrat,49,Republican,44,,5,11/3/98,53.06,43.01,10.05,5.05,-5.05,1,
5380057,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Market Shares Corp.,,10/19/98,1099,Democrat,38,Republican,48,,-10,11/3/98,47.44,50.35,-2.91,7.09,-7.09,1,
5380058,1998_Gov-G_AZ,1998,AZ,Gov-G,Gov-G,Harris Interactive,,10/20/98,732,Democrat,35,Republican,55,,-20,11/3/98,35.5,61,-25.5,5.5,5.5,1,"previously listed as Harris Interactive, online"
5380059,1998_Gov-G_CA,1998,CA,Gov-G,Gov-G,Harris Interactive,,10/20/98,4531,Democrat,50,Republican,39,,11,11/3/98,58,38.4,19.6,8.6,-8.6,1,"previously listed as Harris Interactive, online"
5380060,1998_Gov-G_CO,1998,CO,Gov-G,Gov-G,Harris Interactive,,10/20/98,614,Democrat,46,Republican,43,,3,11/3/98,48.4,49.1,-0.7,3.7,3.7,0,"previously listed as Harris Interactive, online"
5380061,1998_Gov-G_FL,1998,FL,Gov-G,Gov-G,Harris Interactive,,10/20/98,2295,Democrat,40,Republican,56,,-16,11/3/98,44.7,55.3,-10.6,5.4,-5.4,1,"previously listed as Harris Interactive, online"
5380062,1998_Gov-G_GA,1998,GA,Gov-G,Gov-G,Harris Interactive,,10/20/98,1174,Democrat,42,Republican,47,,-5,11/3/98,52.5,44,8.5,13.5,-13.5,0,"previously listed as Harris Interactive, online"
5380063,1998_Gov-G_IA,1998,IA,Gov-G,Gov-G,"Talmey-Drake Research & Strategy, Inc.",D,10/20/98,408,Democrat,44,Republican,46,,-2,11/3/98,52.3,46.5,5.8,7.8,-7.8,0,
5380064,1998_Gov-G_IL,1998,IL,Gov-G,Gov-G,Harris Interactive,,10/20/98,1209,Democrat,37,Republican,55,,-18,11/3/98,47.5,51,-3.5,14.5,-14.5,1,"previously listed as Harris Interactive, online"
5380065,1998_Gov-G_IL,1998,IL,Gov-G,Gov-G,KRC/Communications Research,,10/20/98,400,Democrat,42,Republican,44,,-2,11/3/98,47.5,51,-3.5,1.5,1.5,1,aka Chicago Sun Times
5380066,1998_Gov-G_MA,1998,MA,Gov-G,Gov-G,Harris Interactive,,10/20/98,907,Democrat,36,Republican,56,,-20,11/3/98,47.4,50.8,-3.4,16.6,-16.6,1,"previously listed as Harris Interactive, online"
5380067,1998_Gov-G_MA,1998,MA,Gov-G,Gov-G,"RKM Research and Communications, Inc.",,10/20/98,402,Democrat,41,Republican,46,,-5,11/3/98,47.4,50.8,-3.4,1.6,-1.6,1,
5380068,1998_Gov-G_MD,1998,MD,Gov-G,Gov-G,ABC News/Washington Post,,10/20/98,919,Democrat,49,Republican,44,,5,11/3/98,55.1,44.8,10.3,5.3,-5.3,1,
5380069,1998_Gov-G_MD,1998,MD,Gov-G,Gov-G,Harris Interactive,,10/20/98,911,Democrat,42,Republican,55,,-13,11/3/98,55.1,44.8,10.3,23.3,-23.3,0,"previously listed as Harris Interactive, online"
5380070,1998_Gov-G_MI,1998,MI,Gov-G,Gov-G,Harris Interactive,,10/20/98,1535,Democrat,36,Republican,51,,-15,11/3/98,37.8,62.2,-24.4,9.4,9.4,1,"previously listed as Harris Interactive, online"
5380071,1998_Gov-G_NM,1998,NM,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/20/98,409,Democrat,43,Republican,47,,-4,11/3/98,45.5,54.5,-9,5,5,1,
5380072,1998_Gov-G_NY,1998,NY,Gov-G,Gov-G,Harris Interactive,,10/20/98,1792,Democrat,24,Republican,48,15,-24,11/3/98,33.2,54.3,-21.1,2.9,-2.9,1,"previously listed as Harris Interactive, online"
5380073,1998_Gov-G_OH,1998,OH,Gov-G,Gov-G,Harris Interactive,,10/20/98,1793,Democrat,39,Republican,50,,-11,11/3/98,44.7,50.1,-5.4,5.6,-5.6,1,"previously listed as Harris Interactive, online"
5380074,1998_Gov-G_PA,1998,PA,Gov-G,Gov-G,Harris Interactive,,10/20/98,1611,Democrat,16,Republican,64,12,-48,11/3/98,31,57.4,-26.4,21.6,-21.6,1,"previously listed as Harris Interactive, online"
5380075,1998_Gov-G_TX,1998,TX,Gov-G,Gov-G,Harris Interactive,,10/20/98,3248,Democrat,22,Republican,73,,-51,11/3/98,31.2,68.2,-37,14,-14,1,"previously listed as Harris Interactive, online"
5380076,1998_House-G_MT-1,1998,MT-1,House-G,House-G,"Mason-Dixon Polling & Research, Inc.",,10/20/98,819,Democrat,37,Republican,52,,-15,11/3/98,44.4,53,-8.6,6.4,-6.4,1,
5380077,1998_House-G_UT-2,1998,UT-2,House-G,House-G,Valley Research,,10/20/98,452,Democrat,42,Republican,41,,1,11/3/98,43.4,52.7,-9.3,10.3,10.3,0,aka Salt Lake Tribune
5380078,1998_Sen-G_AZ,1998,AZ,Sen-G,Sen-G,Harris Interactive,,10/20/98,732,Democrat,18,Republican,66,,-48,11/3/98,27.16,68.74,-41.58,6.42,-6.42,1,"previously listed as Harris Interactive, online"
5380079,1998_Sen-G_CA,1998,CA,Sen-G,Sen-G,Harris Interactive,,10/20/98,4531,Democrat,46,Republican,45,,1,11/3/98,53.06,43.01,10.05,9.05,-9.05,1,"previously listed as Harris Interactive, online"
5380080,1998_Sen-G_CO,1998,CO,Sen-G,Sen-G,Harris Interactive,,10/20/98,614,Democrat,37,Republican,55,,-18,11/3/98,35.01,62.47,-27.46,9.46,9.46,1,"previously listed as Harris Interactive, online"
5380081,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Harris Interactive,,10/20/98,2295,Democrat,60,Republican,31,,29,11/3/98,62.47,37.53,24.94,4.06,4.06,1,"previously listed as Harris Interactive, online"
5380082,1998_Sen-G_GA,1998,GA,Sen-G,Sen-G,Harris Interactive,,10/20/98,1174,Democrat,37,Republican,53,,-16,11/3/98,45.15,52.37,-7.22,8.78,-8.78,1,"previously listed as Harris Interactive, online"
5380083,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Harris Interactive,,10/20/98,1209,Democrat,38,Republican,52,,-14,11/3/98,47.44,50.35,-2.91,11.09,-11.09,1,"previously listed as Harris Interactive, online"
5380084,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,Illinois Wesleyan University,,10/20/98,423,Democrat,31,Republican,53,,-22,11/3/98,47.44,50.35,-2.91,19.09,-19.09,1,
5380085,1998_Sen-G_IL,1998,IL,Sen-G,Sen-G,KRC/Communications Research,,10/20/98,400,Democrat,40,Republican,50,,-10,11/3/98,47.44,50.35,-2.91,7.09,-7.09,1,
5380086,1998_Sen-G_IN,1998,IN,Sen-G,Sen-G,Harris Interactive,,10/20/98,831,Democrat,63,Republican,27,,36,11/3/98,63.72,34.79,28.93,7.07,7.07,1,"previously listed as Harris Interactive, online"
5380087,1998_Sen-G_MD,1998,MD,Sen-G,Sen-G,Harris Interactive,,10/20/98,911,Democrat,67,Republican,27,,40,11/3/98,70.5,29.5,41,1,-1,1,"previously listed as Harris Interactive, online"
5380088,1998_Sen-G_NC,1998,NC,Sen-G,Sen-G,Harris Interactive,,10/20/98,1163,Democrat,47,Republican,38,,9,11/3/98,51.15,47.01,4.14,4.86,4.86,1,"previously listed as Harris Interactive, online"
5380089,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Harris Interactive,,10/20/98,1792,Democrat,44,Republican,46,,-2,11/3/98,54.62,44.08,10.54,12.54,-12.54,0,"previously listed as Harris Interactive, online"
5380090,1998_Sen-G_OH,1998,OH,Sen-G,Sen-G,Harris Interactive,,10/20/98,1793,Democrat,37,Republican,55,,-18,11/3/98,43.53,56.46,-12.93,5.07,-5.07,1,"previously listed as Harris Interactive, online"
5380091,1998_Sen-G_PA,1998,PA,Sen-G,Sen-G,Harris Interactive,,10/20/98,1611,Democrat,25,Republican,57,,-32,11/3/98,34.79,61.34,-26.55,5.45,-5.45,1,"previously listed as Harris Interactive, online"
5380092,1998_Sen-G_SD,1998,SD,Sen-G,Sen-G,NRECA Market Research,,10/20/98,500,Democrat,58,Republican,26,,32,11/3/98,62.14,36.41,25.73,6.27,6.27,1,
5380093,1998_Sen-G_WA,1998,WA,Sen-G,Sen-G,Harris Interactive,,10/20/98,831,Democrat,54,Republican,41,,13,11/3/98,58.41,41.59,16.82,3.82,-3.82,1,"previously listed as Harris Interactive, online"
5380094,1998_Gov-G_AL,1998,AL,Gov-G,Gov-G,University of South Alabama,,10/21/98,820,Democrat,46,Republican,32,,14,11/3/98,57.7,42.1,15.6,1.6,-1.6,1,
5380095,1998_Gov-G_MI,1998,MI,Gov-G,Gov-G,Mitchell Research & Communications,,10/21/98,600,Democrat,30,Republican,62,,-32,11/3/98,37.8,62.2,-24.4,7.6,-7.6,1,
5380096,1998_Gov-G_RI,1998,RI,Gov-G,Gov-G,KRC/Communications Research,,10/21/98,400,Democrat,45,Republican,40,7,5,11/3/98,42.1,51,-8.9,13.9,13.9,0,
5380097,1998_House-G_IN-9,1998,IN-9,House-G,House-G,Public Opinion Strategies,R,10/21/98,300,Democrat,41,Republican,51,,-10,11/3/98,50.8,47.9,2.9,12.9,-12.9,0,
5380098,1998_House-G_KS-4,1998,KS-4,House-G,House-G,SurveyUSA,,10/21/98,500,Democrat,40,Republican,56,,-16,11/3/98,38.56,58.26,-19.7,3.7,3.7,1,
5380099,1998_Sen-G_CO,1998,CO,Sen-G,Sen-G,Ciruli Associates,,10/21/98,400,Democrat,30,Republican,61,,-31,11/3/98,35.01,62.47,-27.46,3.54,-3.54,1,
5380100,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,SurveyUSA,,10/21/98,500,Democrat,48,Republican,43,,5,11/3/98,54.62,44.08,10.54,5.54,-5.54,1,
5380101,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Zogby Interactive/JZ Analytics,,10/21/98,703,Democrat,39,Republican,43,,-4,11/3/98,54.62,44.08,10.54,14.54,-14.54,0,"previously listed as Zogby Analytics, telephone"
5380102,1998_Gov-G_AL,1998,AL,Gov-G,Gov-G,Southern Opinion Research,,10/22/98,500,Democrat,60,Republican,35,,25,11/3/98,57.7,42.1,15.6,9.4,9.4,1,for NYT Regional Newspapers
5380103,1998_Gov-G_CO,1998,CO,Gov-G,Gov-G,Ciruli Associates,,10/22/98,500,Democrat,41,Republican,47,,-6,11/3/98,48.4,49.1,-0.7,5.3,-5.3,1,
5380104,1998_Gov-G_FL,1998,FL,Gov-G,Gov-G,Forman Center,,10/22/98,557,Democrat,43,Republican,51,,-8,11/3/98,44.7,55.3,-10.6,2.6,2.6,1,
5380105,1998_Gov-G_FL,1998,FL,Gov-G,Gov-G,Independent Market Research,,10/22/98,670,Democrat,40,Republican,51,,-11,11/3/98,44.7,55.3,-10.6,0.4,-0.4,1,
5380106,1998_Gov-G_HI,1998,HI,Gov-G,Gov-G,Ward Research (Honolulu Star-Advertiser),,10/22/98,480,Democrat,36,Republican,44,,-8,11/3/98,50.1,48.8,1.3,9.3,-9.3,0,aka Ward Research
5380107,1998_Gov-G_NE,1998,NE,Gov-G,Gov-G,"RKM Research and Communications, Inc.",,10/22/98,831,Democrat,36,Republican,50,,-14,11/3/98,46,53.9,-7.9,6.1,-6.1,1,
5380108,1998_House-G_HI-1,1998,HI-1,House-G,House-G,Ward Research (Honolulu Star-Advertiser),,10/22/98,272,Democrat,47,Republican,32,,15,11/3/98,59.8,35.3,24.5,9.5,-9.5,1,aka Ward Research
5380109,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Fleming & Associates,,10/22/98,557,Democrat,61,Republican,31,,30,11/3/98,62.47,37.53,24.94,5.06,5.06,1,aka Florida Voter
5380110,1998_Sen-G_FL,1998,FL,Sen-G,Sen-G,Independent Market Research,,10/22/98,670,Democrat,61,Republican,25,,36,11/3/98,62.47,37.53,24.94,11.06,11.06,1,
5380111,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,"Fairbank, Maslin, Maullin, Metz & Associates",D,10/22/98,599,Democrat,44,Republican,43,,1,11/3/98,50.55,48.4,2.15,1.15,-1.15,1,
5380112,1998_Gov-G_NY,1998,NY,Gov-G,Gov-G,CBS News/New York Times,,10/23/98,639,Democrat,21,Republican,56,,-35,11/3/98,33.2,54.3,-21.1,13.9,-13.9,1,
5380113,1998_Gov-G_NY,1998,NY,Gov-G,Gov-G,Quinnipiac University,,10/23/98,547,Democrat,24,Republican,57,10,-33,11/3/98,33.2,54.3,-21.1,11.9,-11.9,1,
5380114,1998_Gov-G_RI,1998,RI,Gov-G,Gov-G,Fleming & Associates,,10/23/98,400,Democrat,38,Republican,42,7,-4,11/3/98,42.1,51,-8.9,4.9,4.9,1,
5380115,1998_Gov-G_WI,1998,WI,Gov-G,Gov-G,Market Shares Corp.,,10/23/98,600,Democrat,26,Republican,67,,-41,11/3/98,38.7,59.7,-21,20,-20,1,
5380116,1998_House-G_US,1998,US,House-G,House-G,SSRS,,10/23/98,1017,Democrat,44,Republican,39,,5,11/3/98,46.42,47.99,-1.57,6.57,6.57,0,"aka Associated Press; formerly listed as International Communications Research, Inc."
5380117,1998_Sen-G_KY,1998,KY,Sen-G,Sen-G,Louisville Courier-Journal,,10/23/98,589,Democrat,44,Republican,43,,1,11/3/98,49.16,49.75,-0.59,1.59,1.59,0,
5380118,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,CBS News/New York Times,,10/23/98,850,Democrat,44,Republican,44,,0,11/3/98,54.62,44.08,10.54,10.54,-10.54,0.5,number of likely voters estimated
5380119,1998_Sen-G_NY,1998,NY,Sen-G,Sen-G,Quinnipiac University,,10/23/98,547,Democrat,48,Republican,44,,4,11/3/98,54.62,44.08,10.54,6.54,-6.54,1,
5380120,1998_Sen-G_WI,1998,WI,Sen-G,Sen-G,Market Shares Corp.,,10/23/98,600,Democrat,43,Republican,46,,-3,11/3/98,50.55,48.4,2.15,5.15,-5.15,0,
5380121,1998_Gov-G_AR,1998,AR,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/24/98,810,Democrat,33,Republican,58,,-25,11/3/98,38.7,59.8,-21.1,3.9,-3.9,1,
5380122,1998_Gov-G_FL,1998,FL,Gov-G,Gov-G,SurveyUSA,,10/24/98,500,Democrat,41,Republican,53,,-12,11/3/98,44.7,55.3,-10.6,1.4,-1.4,1,
5380123,1998_Gov-G_MD,1998,MD,Gov-G,Gov-G,Potomac Incorporated,,10/24/98,1205,Democrat,52,Republican,44,,8,11/3/98,55.1,44.8,10.3,2.3,-2.3,1,aka Baltimore Sun
5380124,1998_Gov-G_MN,1998,MN,Gov-G,Gov-G,"Mason-Dixon Polling & Research, Inc.",,10/24/98,816,Ventura (I),23,Coleman (R),33,,-10,11/3/98,37,34.3,2.7,12.7,,0,
5380125,1998_Gov-G_NY,1998,NY,Gov-G,Gov-G,Zogby Interactive/JZ Analytics,,10/24/98,700,Democrat,22,Republican,53,8,-31,11/3/98,33.2,54.3,-21.1,9.9,-9.9,1,"previously listed as Zogby Analytics, telephone"
5380126,1998_Gov-G_OH,1998,OH,Gov-G,Gov-G,University of Cincinnati (Ohio Poll),,10/24/98,708,Democrat,35,Republican,51,,-16,11/3/98,44.7,50.1,-5.4,10.6,-10.6,1,
5380127,1998_House-G_AR-2,1998,AR-2,House-G,House-G,"Mason-Dixon Polling & Research, Inc.",,10/24/98,420,Democrat,54,Republican,35,,19,11/3/98,58,42,16,3,3,1,
5380128,1998_House-G_IN-10,1998,IN-10,House-G,House-G,Massie & Associates,R,10/24/98,300,Democrat,38,Republican,47,,-9,11/3/98,58.3,39.4,18.9,27.9,-27.9,0,
5380129,1998_House-G_US,1998,US,House-G,House-G,ABC News/Washington Post,,10/24/98,581,Democrat,47,Republican,49,,-2,11/3/98,46.42,47.99,-1.57,0.43,-0.43,1,
5380130,1998_House-G_US,1998,US,House-G,House-G,Gallup,,10/24/98,519,Democrat,47,Republican,49,,-2,11/3/98,46.42,47.99,-1.57,0.43,-0.43,1,
5380131,1998_House-G_UT-2,1998,UT-2,House-G,House-G,Wirthlin Worldwide,R,10/24/98,303,Democrat,39,Republican,47,,-8,11/3/98,43.4,52.7,-9.3,1.3,1.3,1,
