poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,methodology,partisan,polldate,samplesize,cand1_name,cand1_id,cand1_party,cand1_pct,cand2_name,cand2_id,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,advancedplusminus,comment
54358,87894,1454,1998,1998_Gov-G_NM,NM,Gov-G,Gov-G,Research & Polling Inc.,280,Live Phone,,10/18/1998,916,Martin Chavez,13072,DEM,39,Gary Johnson,13071,REP,49,,-10,11/3/1998,45.47,54.53,-9.06,.94,-.94,1,-5.132619237045831,
26050,87927,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,Gordon S. Black Corp.,123,Live Phone,,10/18/1998,1012,Lee Fisher,13085,DEM,28,Bob Taft,13086,REP,36,,-8,11/3/1998,44.69,50.05,-5.36,2.64,-2.64,1,-3.188640347851825,
54412,87948,1460,1998,1998_Gov-G_RI,RI,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/18/1998,400,Myrth York,13104,DEM,45,Lincoln Almond,13105,REP,47,,-2,11/3/1998,42.14,50.98,-8.84,6.84,6.84,1,-.0636445142124934,
26243,31483,1732,1998,1998_Sen-G_KY,KY,Sen-G,Sen-G,TMR Research,328,Live Phone,,10/18/1998,800,Scotty Baesler,3951,DEM,44,Jim Bunning,3950,REP,39,,5,11/3/1998,49.16,49.75,-.59,5.59,5.59,0,.38180336092393,
26050,31290,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,Gordon S. Black Corp.,123,Live Phone,,10/18/1998,1012,Mary Boyle,3969,DEM,28,George V. Voinovich,3968,REP,51,,-23,11/3/1998,43.54,56.46,-12.93,10.07,-10.07,1,1.972456329731552,
26244,31484,1742,1998,1998_Sen-G_OK,OK,Sen-G,Sen-G,Tulsa Surveys,341,Live Phone,,10/18/1998,750,Don Carroll,3971,DEM,16,Don Nickles,3970,REP,63,,-47,11/3/1998,31.28,66.38,-35.1,11.9,-11.9,1,4.352116101379955,among all adults
54265,117965,1964,1998,1998_House-G_HI-1,HI-1,House-G,House-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/18/1998,221,Neil Abercrombie,14010,DEM,50,Gene Ward,14011,REP,36,,14,11/3/1998,61.56,36.35,25.21,11.21,-11.21,1,3.285727444712023,
26243,118432,2012,1998,1998_House-G_KY-6,KY-6,House-G,House-G,TMR Research,328,Live Phone,,10/18/1998,700,Ernesto Scorsone,14438,DEM,44,Ernest Lee Fletcher,14439,REP,41,,3,11/3/1998,45.95,53.11,-7.15,10.15,10.15,0,2.822403308482879,
64392,118460,2145,1998,1998_House-G_ND-1,ND-1,House-G,House-G,WPA Intelligence,383,Live Phone,R,10/18/1998,300,Earl Pomeroy,14447,DEM,49,Kevin Cramer,14448,REP,40,,9,11/3/1998,56.21,41.11,15.11,6.11,-6.11,1,-1.618396155097267,for unspecified Republican sponsor
64108,117951,2260,1998,1998_House-G_WA-1,WA-1,House-G,House-G,"Lauer, Lalley, Victoria",168,Live Phone,D,10/18/1998,368,Jay Robert Inslee,13986,DEM,43,Richard Alan White,13987,REP,39,5,4,11/3/1998,49.77,44.12,5.66,1.66,-1.66,1,-4.377923742775795,for unspecified Democratic sponsor
26068,87750,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Los Angeles Times,172,Live Phone,,10/19/1998,883,"Joseph 'Gray' Davis, Jr.",13015,DEM,53,Dan Lungren,13016,REP,42,,11,11/3/1998,57.97,38.38,19.59,8.59,-8.59,1,.6445882906344098,
26083,87828,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,Market Shares Corp.,187,Live Phone,,10/19/1998,1099,Glenn Poshard,13043,DEM,34,George Ryan,13044,REP,49,,-15,11/3/1998,47.46,51.03,-3.57,11.43,-11.43,1,2.580895325113565,
54305,87841,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/19/1998,625,Scott Harshbarger,13052,DEM,41,A. Paul Cellucci,13051,REP,46,,-5,11/3/1998,47.44,50.87,-3.44,1.56,-1.56,1,-4.406606231911932,
26068,31308,1721,1998,1998_Sen-G_CA,CA,Sen-G,Sen-G,Los Angeles Times,172,Live Phone,,10/19/1998,883,Barbara Boxer,3926,DEM,49,Matt Fong,3927,REP,44,,5,11/3/1998,53.06,43.01,10.05,5.05,-5.05,1,-.9347772676829325,
26083,31323,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Market Shares Corp.,187,Live Phone,,10/19/1998,1099,Carol Moseley-Braun,3943,DEM,38,Peter G. Fitzgerald,3944,REP,48,,-10,11/3/1998,47.44,50.35,-2.9,7.1,-7.1,1,-.8872644445029567,
28262,33540,8661,1998,1998_House-G_US,US,House-G,House-G,Wirthlin Worldwide,387,Live Phone,,10/19/1998,416,Generic Candidate,13752,DEM,41,Generic Candidate,13753,REP,45,,-4,11/3/1998,49.53,50.47,-.93,3.07,-3.07,1,-2.058035468152409,
54203,87739,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,732,Paul Johnson,13009,DEM,35,Jane Hull,13012,REP,55,,-20,11/3/1998,35.53,60.95,-25.42,5.42,5.42,1,-.160875957353609,
54215,87751,1436,1998,1998_Gov-G_CA,CA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,4531,"Joseph 'Gray' Davis, Jr.",13015,DEM,50,Dan Lungren,13016,REP,39,,11,11/3/1998,57.97,38.38,19.59,8.59,-8.59,1,.8087663067194457,
54225,87761,1437,1998,1998_Gov-G_CO,CO,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,614,Gail Schoettler,13022,DEM,46,William F. Owens,13021,REP,43,,3,11/3/1998,48.43,49.05,-.62,3.62,3.62,0,-1.722750235578784,
54247,87783,1439,1998,1998_Gov-G_FL,FL,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,2295,Buddy MacKay,13029,DEM,40,Jeb Bush,13028,REP,56,,-16,11/3/1998,44.72,55.27,-10.55,5.45,-5.45,1,3.063306246531523,
54259,87795,1440,1998,1998_Gov-G_GA,GA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1174,Roy Barnes,13031,DEM,42,Guy Millner,13032,REP,47,,-5,11/3/1998,52.49,44.08,8.42,13.42,-13.42,0,5.646194650468496,
54293,87829,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1209,Glenn Poshard,13043,DEM,37,George Ryan,13044,REP,55,,-18,11/3/1998,47.46,51.03,-3.57,14.43,-14.43,1,5.940649505574837,
54294,87830,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,KRC Research,160,Live Phone,,10/20/1998,400,Glenn Poshard,13043,DEM,42,George Ryan,13044,REP,44,,-2,11/3/1998,47.46,51.03,-3.57,1.57,1.57,1,-8.627301160299991,for Chicago Sun-Times
54274,87810,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,"Drake Research & Strategy, Inc.",329,Live Phone,D,10/20/1998,408,Tom Vilsack,13039,DEM,44,Jim Lightfoot,13036,REP,46,,-2,11/3/1998,52.34,46.54,5.8,7.8,-7.8,0,-.6203860241772696,for Tom Vilsack
54323,87859,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,ABC News/The Washington Post,3,Live Phone,,10/20/1998,919,Parris Glendening,13054,DEM,49,Ellen Sauerbrey,13053,REP,44,,5,11/3/1998,55.14,44.82,10.33,5.33,-5.33,1,-2.808095187732415,
54324,87860,1447,1998,1998_Gov-G_MD,MD,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,911,Parris Glendening,13054,DEM,42,Ellen Sauerbrey,13053,REP,55,,-13,11/3/1998,55.14,44.82,10.33,23.33,-23.33,0,17.25223371509921,
54306,87842,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,907,Scott Harshbarger,13052,DEM,36,A. Paul Cellucci,13051,REP,56,,-20,11/3/1998,47.44,50.87,-3.44,16.56,-16.56,1,12.5836600026788,
54307,87843,1448,1998,1998_Gov-G_MA,MA,Gov-G,Gov-G,RKM Research and Communications Inc.,272,Live Phone,,10/20/1998,402,Scott Harshbarger,13052,DEM,41,A. Paul Cellucci,13051,REP,46,,-5,11/3/1998,47.44,50.87,-3.44,1.56,-1.56,1,-4.456182034372307,
54334,87870,1449,1998,1998_Gov-G_MI,MI,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1535,Geoffrey Fieger,13061,DEM,36,John Engler,13060,REP,51,,-15,11/3/1998,37.78,62.2,-24.43,9.43,9.43,1,3.337317779968782,
54359,87895,1454,1998,1998_Gov-G_NM,NM,Gov-G,Gov-G,Mason-Dixon Polling & Strategy,197,Live Phone,,10/20/1998,409,Martin Chavez,13072,DEM,43,Gary Johnson,13071,REP,47,,-4,11/3/1998,45.47,54.53,-9.06,5.06,5.06,1,-.5948633279371054,
54375,87911,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1792,Peter Vallone,13080,DEM,24,George Pataki,13083,REP,48,15,-24,11/3/1998,33.16,54.32,-21.15,2.85,-2.85,1,-5.620604661169618,
54392,87928,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1793,Lee Fisher,13085,DEM,39,Bob Taft,13086,REP,50,,-11,11/3/1998,44.69,50.05,-5.36,5.64,-5.64,1,.0386744610816415,
54406,87942,1459,1998,1998_Gov-G_PA,PA,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1611,Ivan Itkin,13100,DEM,16,Thomas Ridge,13098,REP,64,12,-48,11/3/1998,31.03,57.42,-26.38,21.62,-21.62,1,12.69542224209478,
54424,87960,1464,1998,1998_Gov-G_TX,TX,Gov-G,Gov-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,3248,Garry Mauro,13118,DEM,22,George W. Bush,13119,REP,73,,-51,11/3/1998,31.18,68.24,-37.06,13.94,-13.94,1,6.510024259014641,
54203,117111,1719,1998,1998_Sen-G_AZ,AZ,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,732,Edward Ranger,13708,DEM,18,John McCain,13709,REP,66,,-48,11/3/1998,27.17,68.76,-41.59,6.41,-6.41,1,1.608484519439483,
54215,117114,1721,1998,1998_Sen-G_CA,CA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,4531,Barbara Boxer,3926,DEM,46,Matt Fong,3927,REP,45,,1,11/3/1998,53.06,43.01,10.05,9.05,-9.05,1,4.163458237367125,
54225,117116,1722,1998,1998_Sen-G_CO,CO,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,614,Dottie Lamm,3929,DEM,37,Ben Nighthorse Campbell,3928,REP,55,,-18,11/3/1998,35.02,62.49,-27.47,9.47,9.47,1,4.592121231763623,
54247,117118,1724,1998,1998_Sen-G_FL,FL,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,2295,Bob Graham,3932,DEM,60,Charlie Crist,3933,REP,31,,29,11/3/1998,62.47,37.53,24.94,4.06,4.06,1,-1.975096593015937,
54259,117121,1725,1998,1998_Sen-G_GA,GA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1174,Michael J. Coles,3935,DEM,37,Paul Coverdell,3934,REP,53,,-16,11/3/1998,45.15,52.37,-7.22,8.78,-8.78,1,2.637803433818843,
54293,117123,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1209,Carol Moseley-Braun,3943,DEM,38,Peter G. Fitzgerald,3944,REP,52,,-14,11/3/1998,47.44,50.35,-2.9,11.1,-11.1,1,4.191774578842227,
26063,31303,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,Illinois Wesleyan University Department of Political Science,147,Live Phone,,10/20/1998,423,Carol Moseley-Braun,3943,DEM,31,Peter G. Fitzgerald,3944,REP,53,,-22,11/3/1998,47.44,50.35,-2.9,19.1,-19.1,1,11.56466474461714,
54294,117199,1728,1998,1998_Sen-G_IL,IL,Sen-G,Sen-G,KRC Research,160,Live Phone,,10/20/1998,400,Carol Moseley-Braun,3943,DEM,40,Peter G. Fitzgerald,3944,REP,50,,-10,11/3/1998,47.44,50.35,-2.9,7.1,-7.1,1,-1.311526955176471,for Chicago Sun-Times
63646,117141,1729,1998,1998_Sen-G_IN,IN,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,831,Evan Bayh,3945,DEM,63,Paul Helmke,3946,REP,27,,36,11/3/1998,63.72,34.79,28.93,7.07,7.07,1,1.190620006240651,
54324,117125,1734,1998,1998_Sen-G_MD,MD,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,911,Barbara A. Mikulski,3954,DEM,67,Ross Z. Pierpont,3955,REP,27,,40,11/3/1998,70.5,29.5,41.01,1.01,-1.01,1,-3.78181768948911,
54375,117127,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1792,Charles E. Schumer,3966,DEM,44,Alfonse M. D'Amato,3967,REP,46,,-2,11/3/1998,54.62,44.08,10.54,12.54,-12.54,0,4.708521959232248,
63648,117143,1739,1998,1998_Sen-G_NC,NC,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1163,John Edwards,3958,DEM,47,Lauch Faircloth,3959,REP,38,,9,11/3/1998,51.15,47.01,4.14,4.86,4.86,1,-.4813726813362594,
54392,117130,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1793,Mary Boyle,3969,DEM,37,George V. Voinovich,3968,REP,55,,-18,11/3/1998,43.54,56.46,-12.93,5.07,-5.07,1,-3.752476452552556,
54406,117132,1744,1998,1998_Sen-G_PA,PA,Sen-G,Sen-G,Harris Insights & Analytics,133,Live Phone,,10/20/1998,1611,Bill Lloyd,3975,DEM,25,Arlen Specter,3974,REP,57,,-32,11/3/1998,34.79,61.34,-26.55,5.45,-5.45,1,-.8794701774544753,
